id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1580949545957363713,1580941355484082176,2022-10-14 16:51:59 BST,2022-10-14,16:51:59,+0100,1029795238632669185,davidshaw291,Davidshaw29,,"@trussliz Resign immediately and call a GE , you are a puppet of libertarian extremists and dark Money think tanks like the IEA.",en,[],[],[],0,1,1,[],[],https://twitter.com/Davidshaw291/status/1580949545957363713,False,,0,,Swindon,,,,,,"[{'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580948014004256769,1580934120586498058,2022-10-14 16:45:53 BST,2022-10-14,16:45:53,+0100,1029795238632669185,davidshaw291,Davidshaw29,,@cathynewman @ModerateLabour1 @trussliz @TimesRadio General election immediately,en,[],[],[],0,0,0,[],[],https://twitter.com/Davidshaw291/status/1580948014004256769,False,,0,,Swindon,,,,,,"[{'screen_name': 'cathynewman', 'name': 'Cathy Newman', 'id': '47583917'}, {'screen_name': 'ModerateLabour1', 'name': 'Moderate_Labour 🌹🇬🇧', 'id': '1403410145258917892'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'TimesRadio', 'name': 'Times Radio', 'id': '1217786733540118528'}]",,,,
1580947268047605764,1580928986535800833,2022-10-14 16:42:55 BST,2022-10-14,16:42:55,+0100,172896767,iandd50,Ian Durnin-Duffy,,@Conservatives @trussliz She's awful. Pitifully out of touch and doesn't have the capabilities required.,en,[],[],[],0,0,0,[],[],https://twitter.com/IanDD50/status/1580947268047605764,False,,0,,Swindon,,,,,,"[{'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580947121552773120,1580944593000202242,2022-10-14 16:42:21 BST,2022-10-14,16:42:21,+0100,436179947,sciprios,Andrew Barnes,,@RobertBuckland @trussliz @Jeremy_Hunt @Conservatives You don't represent us. Step down and let democracy take over.,en,[],[],[],0,0,9,[],[],https://twitter.com/Sciprios/status/1580947121552773120,False,,0,,Swindon,,,,,,"[{'screen_name': 'RobertBuckland', 'name': 'Robert Buckland', 'id': '14284260'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'Jeremy_Hunt', 'name': 'Jeremy Hunt', 'id': '112398730'}, {'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}]",,,,
1580946897845354496,1580941355484082176,2022-10-14 16:41:27 BST,2022-10-14,16:41:27,+0100,970059017182736384,andyrooo1966,Andy,,@trussliz Bye bye!,ht,[],[],[],1,0,2,[],[],https://twitter.com/Andyrooo1966/status/1580946897845354496,False,,0,,Swindon,,,,,,"[{'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580946030186483713,1580941355484082176,2022-10-14 16:38:00 BST,2022-10-14,16:38:00,+0100,448151272,stevecox2008,Steve Cox Esq.,,"@trussliz “As Prime Minister I will always act in the national interest”, OK - resign.",en,[],[],[],0,0,2,[],[],https://twitter.com/stevecox2008/status/1580946030186483713,False,,0,,Swindon,,,,,,"[{'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
1580944593000202242,1580944593000202242,2022-10-14 16:32:18 BST,2022-10-14,16:32:18,+0100,14284260,robertbuckland,Robert Buckland,,"Our priorities are to do the right thing by acting in our  national interest to tackle the energy crisis, to grow our economy and to continue to rise to the challenge of Putin’s war in Ukraine @trussliz @Jeremy_Hunt @Conservatives  https://t.co/g7iKmtbtfV",en,"[{'screen_name': 'trussliz', 'name': 'liz truss', 'id': '65357102'}, {'screen_name': 'jeremy_hunt', 'name': 'jeremy hunt', 'id': '112398730'}, {'screen_name': 'conservatives', 'name': 'conservatives', 'id': '14281853'}]",[],['https://pbs.twimg.com/media/FfCkuVHXkAUIdhC.jpg'],110,8,26,[],[],https://twitter.com/RobertBuckland/status/1580944593000202242,False,,1,https://pbs.twimg.com/media/FfCkuVHXkAUIdhC.jpg,Swindon,,,,,,[],,,,
1580942435256979458,1580916278810009603,2022-10-14 16:23:43 BST,2022-10-14,16:23:43,+0100,1397530359147941889,johnnymcat,John McAteer⭐️⭐️,,@HakunaMatata26C @Ohmaggie2022 @trussliz @KwasiKwarteng She’s absolutely lost when someone uses the the term “I’m absolutely determined “ well of course she is but in a robotic form there is just nothing there ..complete  💩,en,[],[],[],0,0,0,[],[],https://twitter.com/JohnnyMcAT/status/1580942435256979458,False,,0,,Swindon,,,,,,"[{'screen_name': 'HakunaMatata26C', 'name': 'Irene 🏴\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f🇬🇧👑🎉 #BackedBoris', 'id': '1162633627567628289'}, {'screen_name': 'Ohmaggie2022', 'name': 'Maggie 🇬🇧🇬🇧🇮🇱🇮🇱#BRINGBACKBORIS', 'id': '1551677963019616258'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}, {'screen_name': 'KwasiKwarteng', 'name': 'Kwasi Kwarteng', 'id': '707967655031005186'}]",,,,
1580940737566281728,1580940737566281728,2022-10-14 16:16:58 BST,2022-10-14,16:16:58,+0100,813305,timalmond,Tim Almond,,"Liz Truss should have got into power, rammed through a load of reform laws by whatever means necessary and gone out in a blaze of glory.  https://t.co/DspD2undhZ",en,[],[],['https://pbs.twimg.com/media/FfChMK7XkAISZcx.png'],0,0,1,[],[],https://twitter.com/timalmond/status/1580940737566281728,False,https://twitter.com/nicholaswatt/status/1580887374292455424,1,https://pbs.twimg.com/media/FfChMK7XkAISZcx.png,Swindon,,,,,,[],,,,
1580933642301616131,1580928986535800833,2022-10-14 15:48:47 BST,2022-10-14,15:48:47,+0100,793898629144641537,dhcfry,Derek Fry,,@Conservatives @trussliz Muppet!,en,[],[],[],0,0,0,[],[],https://twitter.com/DhcFry/status/1580933642301616131,False,,0,,Swindon,,,,,,"[{'screen_name': 'Conservatives', 'name': 'Conservatives', 'id': '14281853'}, {'screen_name': 'trussliz', 'name': 'Liz Truss', 'id': '65357102'}]",,,,
